film_key;film_last_update;film_title;film_description;film_release_year;film_language;film_rental_duration;film_rental_rate;film_duration;film_replacement_cost;film_rating_text;film_id;film_category
1;2006-02-15 05:03;ACADEMY DINOSAUR;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;English;6;0.99;86;20.99;Parental Guidance Suggested;1;Documentary
2;2006-02-15 05:03;ACE GOLDFINGER;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;English;3;4.99;48;12.99;General Audiences;2;Horror
3;2006-02-15 05:03;ADAPTATION HOLES;A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory;2006;English;7;2.99;50;18.99;No One Under 17 Admitted ;3;Documentary
4;2006-02-15 05:03;AFFAIR PREJUDICE;A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank;2006;English;5;2.99;117;26.99;General Audiences;4;Horror
5;2006-02-15 05:03;AFRICAN EGG;A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico;2006;English;6;2.99;130;22.99;General Audiences;5;Family
6;2006-02-15 05:03;AGENT TRUMAN;A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China;2006;English;3;2.99;169;17.99;Parental Guidance Suggested;6;Foreign
7;2006-02-15 05:03;AIRPLANE SIERRA;A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat;2006;English;6;4.99;62;28.99;Parents Strongly Cautioned;7;Comedy
8;2006-02-15 05:03;AIRPORT POLLOCK;A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India;2006;English;6;4.99;54;15.99;Restricted;8;Horror
9;2006-02-15 05:03;ALABAMA DEVIL;A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat;2006;English;3;2.99;114;21.99;Parents Strongly Cautioned;9;Horror
10;2006-02-15 05:03;ALADDIN CALENDAR;A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China;2006;English;6;4.99;63;24.99;No One Under 17 Admitted ;10;Sports
11;2006-02-15 05:03;ALAMO VIDEOTAPE;A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention;2006;English;6;0.99;126;16.99;General Audiences;11;Foreign
12;2006-02-15 05:03;ALASKA PHANTOM;A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia;2006;English;6;0.99;136;22.99;Parental Guidance Suggested;12;Music
13;2006-02-15 05:03;ALI FOREVER;A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies;2006;English;4;4.99;150;21.99;Parental Guidance Suggested;13;Horror
14;2006-02-15 05:03;ALICE FANTASIA;A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia;2006;English;6;0.99;94;23.99;No One Under 17 Admitted ;14;Classics
15;2006-02-15 05:03;ALIEN CENTER;A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention;2006;English;5;2.99;46;10.99;No One Under 17 Admitted ;15;Foreign
